INDEX_ nUMBER,Firstquiz,Secondquiz,ATTENDANCE_Cs,Firsttotal, Finaltotal
PS/ITC/22/0257,,,0,0,0
PS/ITC/22/0258,8,10,0,18,14.4
PS/ITC/22/0259, ,14,4,18,14.4
PS/ITC/22/0260,18,19,0,37,29.6
PS/ITC/22/0261,14,12,8,34,27.2
PS/ITC/22/0262,11,12,6,29,23.2
PS/ITC/22/0263,11,17,10,38,30.4
PS/ITC/22/0264,9,12.5,8,29.5,23.6
PS/ITC/22/0265,6,2,8,16,12.8
PS/ITC/22/0266,15,8,8,31,24.8
PS/ITC/22/0267,,13.5,0,13.5,10.8
PS/ITC/22/0268,,,,,
PS/ITC/22/0269,,,,,
PS/ITC/22/0270,,,,,
